10.3962|1.02494|-104.009
|Index|x_pos|y_pos|z_pos|x_vel|y_vel|z_vel|
|311|9.70915|1.01561|-105.066|-6.51699|-0.0885928|-10.0258|
|312|9.70261|1.01552|-105.076|-6.5572|-0.0891394|-10.0877|
|313|9.69603|1.01543|-105.086|-6.59751|-0.0896874|-10.1497|
|314|9.68941|1.01534|-105.097|-6.63793|-0.0902369|-10.2119|
|315|9.68276|1.01525|-105.107|-6.67846|-0.0907878|-10.2742|
|316|9.67606|1.01516|-105.117|-6.71909|-0.0913401|-10.3368|
|317|9.66932|1.01506|-105.128|-6.75983|-0.0918939|-10.3994|
|318|9.66254|1.01497|-105.138|-6.80067|-0.0924492|-10.4623|
|319|9.65572|1.01488|-105.148|-6.84162|-0.0930059|-10.5253|
|320|9.64885|1.01479|-105.159|-6.88268|-0.093564|-10.5884|
|321|9.64195|1.01469|-105.17|-6.92384|-0.0941235|-10.6517|
|322|9.63501|1.0146|-105.18|-6.9651|-0.0946844|-10.7152|
|323|9.62802|1.0145|-105.191|-7.00647|-0.0952468|-10.7789|
|324|9.62099|1.01441|-105.202|-7.04794|-0.0958106|-10.8427|
|325|9.61392|1.01431|-105.213|-7.08952|-0.0963758|-10.9066|
|326|9.60681|1.01421|-105.224|-7.1312|-0.0969424|-10.9708|
|327|9.59966|1.01412|-105.235|-7.17299|-0.0975105|-11.035|
|328|9.59247|1.01402|-105.246|-7.21488|-0.0980799|-11.0995|
|329|9.58523|1.01392|-105.257|-7.25687|-0.0986508|-11.1641|
|330|9.57795|1.01382|-105.268|-7.29896|-0.099223|-11.2288|
|331|9.57063|1.01372|-105.279|-7.34116|-0.0997966|-11.2938|
|332|9.56327|1.01362|-105.291|-7.38346|-0.100372|-11.3588|
|333|9.55587|1.01352|-105.302|-7.42587|-0.100948|-11.4241|
|334|9.54842|1.01342|-105.314|-7.46837|-0.101526|-11.4895|
|335|9.54093|1.01332|-105.325|-7.51098|-0.102105|-11.555|
|336|9.5334|1.01322|-105.337|-7.55369|-0.102686|-11.6207|
|337|9.52582|1.01311|-105.348|-7.5965|-0.103268|-11.6866|
|338|9.5182|1.01301|-105.36|-7.63941|-0.103851|-11.7526|
|339|9.51054|1.01291|-105.372|-7.68242|-0.104436|-11.8188|
|340|9.50284|1.0128|-105.384|-7.72554|-0.105022|-11.8851|
|341|9.49509|1.0127|-105.396|-7.76875|-0.105609|-11.9516|
|342|9.4873|1.01259|-105.408|-7.81207|-0.106198|-12.0182|
|343|9.47947|1.01248|-105.42|-7.85548|-0.106788|-12.085|
|344|9.47159|1.01238|-105.432|-7.899|-0.10738|-12.1519|
|345|9.46367|1.01227|-105.444|-7.94261|-0.107973|-12.219|
|346|9.45571|1.01216|-105.456|-7.98633|-0.108567|-12.2863|
|347|9.4477|1.01205|-105.468|-8.03014|-0.109163|-12.3537|
|348|9.43965|1.01194|-105.481|-8.07405|-0.10976|-12.4213|
|349|9.43155|1.01183|-105.493|-8.11806|-0.110358|-12.489|
|350|9.42341|1.01172|-105.506|-8.16217|-0.110958|-12.5568|
|351|9.41523|1.01161|-105.518|-8.20638|-0.111559|-12.6248|
|352|9.407|1.0115|-105.531|-8.25069|-0.112161|-12.693|
|353|9.39872|1.01139|-105.544|-8.2951|-0.112765|-12.7613|
|354|9.39041|1.01127|-105.557|-8.3396|-0.11337|-12.8298|
|355|9.38204|1.01116|-105.569|-8.3842|-0.113976|-12.8984|
|356|9.37364|1.01104|-105.582|-8.4289|-0.114583|-12.9671|
|357|9.36519|1.01093|-105.595|-8.47369|-0.115192|-13.0361|
|358|9.35669|1.01081|-105.608|-8.51858|-0.115803|-13.1051|
|359|9.34815|1.0107|-105.622|-8.56357|-0.116414|-13.1743|
|360|9.33956|1.01058|-105.635|-8.60865|-0.117027|-13.2437|
