9.79744 0.788221 -99.1857
|Index|x_pos|y_pos|z_pos|x_vel|y_vel|z_vel|joint1_pos|joint2_pos|joint3_pos|joint1_vel|joint2_vel|joint3_vel|
|177|9.77184|0.787951|-99.227|-2.16584|-0.0228238|-3.49831|-47600.2|-96561.3|-15392.3|11818.8|27602.9|1584.01|
|178|9.7714|0.787947|-99.2277|-2.19027|-0.0230812|-3.53777|-47597.8|-96555.7|-15392|11951.9|27913|1601.94|
|179|9.77096|0.787942|-99.2284|-2.21483|-0.0233401|-3.57745|-47595.4|-96550.1|-15391.7|12085.7|28224.9|1619.98|
|180|9.77052|0.787937|-99.2292|-2.23953|-0.0236004|-3.61734|-47593|-96544.4|-15391.3|12220.2|28538.4|1638.11|
|181|9.77007|0.787933|-99.2299|-2.26437|-0.0238621|-3.65745|-47590.5|-96538.7|-15391|12355.5|28853.5|1656.35|
|182|9.76961|0.787928|-99.2306|-2.28933|-0.0241252|-3.69778|-47588.1|-96532.9|-15390.7|12491.5|29170.4|1674.68|
|183|9.76915|0.787923|-99.2314|-2.31444|-0.0243897|-3.73832|-47585.5|-96527|-15390.3|12628.2|29488.9|1693.12|
|184|9.76869|0.787918|-99.2321|-2.33967|-0.0246557|-3.77909|-47583|-96521.1|-15390|12765.7|29809.1|1711.66|
|185|9.76822|0.787913|-99.2329|-2.36505|-0.024923|-3.82007|-47580.4|-96515.1|-15389.6|12903.8|30131|1730.3|
|186|9.76774|0.787908|-99.2336|-2.39055|-0.0251918|-3.86127|-47577.8|-96509|-15389.3|13042.8|30454.5|1749.04|
|187|9.76726|0.787903|-99.2344|-2.41619|-0.025462|-3.90269|-47575.2|-96502.9|-15388.9|13182.4|30779.8|1767.88|
|188|9.76677|0.787898|-99.2352|-2.44197|-0.0257337|-3.94432|-47572.6|-96496.7|-15388.6|13322.8|31106.6|1786.82|
|189|9.76628|0.787893|-99.236|-2.46788|-0.0260067|-3.98617|-47569.9|-96490.5|-15388.2|13463.8|31435.2|1805.87|
|190|9.76579|0.787888|-99.2368|-2.49393|-0.0262812|-4.02824|-47567.2|-96484.2|-15387.9|13605.7|31765.4|1825.01|
