-65 0.000164428 -220
|Index|TCPP|TCVP|
|656|0.0220701|0.674479|
|657|0.0222053|0.677554|
|658|0.0223411|0.680639|
|659|0.0224775|0.683732|
|660|0.0226146|0.686835|
|661|0.0227523|0.689947|
|662|0.0228906|0.693068|
|663|0.0230295|0.696198|
|664|0.023169|0.699338|
|665|0.0233092|0.702486|
|666|0.02345|0.705644|
|667|0.0235915|0.708812|
|668|0.0237336|0.711988|
|669|0.0238763|0.715174|
|670|0.0240196|0.718369|
|671|0.0241636|0.721573|
|672|0.0243083|0.724787|
|673|0.0244535|0.72801|
|674|0.0245995|0.731242|
|675|0.024746|0.734484|
|676|0.0248933|0.737735|
|677|0.0250411|0.740995|
|678|0.0251897|0.744265|
|679|0.0253388|0.747544|
|680|0.0254887|0.750832|
|681|0.0256392|0.75413|
|682|0.0257903|0.757437|
|683|0.0259421|0.760754|
|684|0.0260946|0.76408|
|685|0.0262478|0.767416|
|686|0.0264016|0.770761|
|687|0.0265561|0.774116|
|688|0.0267112|0.77748|
|689|0.0268671|0.780854|
|690|0.0270236|0.784237|
|691|0.0271808|0.78763|
|692|0.0273386|0.791032|
|693|0.0274972|0.794444|
|694|0.0276564|0.797865|
|695|0.0278163|0.801296|
|696|0.0279769|0.804736|
|697|0.0281382|0.808187|
|698|0.0283002|0.811646|
|699|0.0284629|0.815116|
|700|0.0286263|0.818595|
|701|0.0287903|0.822083|
|702|0.0289551|0.825582|
|703|0.0291206|0.82909|
|704|0.0292867|0.832607|
|705|0.0294536|0.836135|
|706|0.0296212|0.839672|
|707|0.0297895|0.843219|
|708|0.0299585|0.846775|
|709|0.0301282|0.850341|
|710|0.0302986|0.853917|
|711|0.0304698|0.857503|
|712|0.0306416|0.861099|
|713|0.0308142|0.864704|
|714|0.0309875|0.868319|
|715|0.0311615|0.871944|
|716|0.0313363|0.875579|
|717|0.0315118|0.879224|
|718|0.031688|0.882878|
|719|0.0318649|0.886542|
|720|0.0320426|0.890217|
|721|0.032221|0.893901|
|722|0.0324001|0.897595|
|723|0.03258|0.901298|
|724|0.0327607|0.905012|
|725|0.032942|0.908736|
|726|0.0331242|0.91247|
|727|0.033307|0.916213|
|728|0.0334906|0.919967|
|729|0.033675|0.92373|
|730|0.0338601|0.927504|
|731|0.034046|0.931287|
|732|0.0342327|0.935081|
|733|0.03442|0.938884|
|734|0.0346082|0.942698|
|735|0.0347971|0.946522|
|736|0.0349868|0.950355|
|737|0.0351773|0.954199|
|738|0.0353685|0.958053|
|739|0.0355605|0.961917|
|740|0.0357533|0.965791|
|741|0.0359468|0.969675|
|742|0.0361411|0.973569|
|743|0.0363362|0.977473|
|744|0.0365321|0.981388|
|745|0.0367288|0.985312|
|746|0.0369262|0.989247|
|747|0.0371245|0.993192|
|748|0.0373235|0.997147|
|749|0.0375234|1.00111|
|750|0.037724|1.00509|
|751|0.0379254|1.00907|
|752|0.0381276|1.01307|
|753|0.0383306|1.01708|
|754|0.0385344|1.02109|
|755|0.0387391|1.02512|
|756|0.0389445|1.02916|
|757|0.0391507|1.0332|
|758|0.0393578|1.03726|
|759|0.0395656|1.04133|
|760|0.0397743|1.04541|
|761|0.0399838|1.0495|
|762|0.0401941|1.0536|
|763|0.0404052|1.0577|
|764|0.0406172|1.06182|
|765|0.04083|1.06595|
|766|0.0410436|1.07009|
|767|0.041258|1.07425|
|768|0.0414733|1.07841|
|769|0.0416894|1.08258|
|770|0.0419063|1.08676|
|771|0.0421241|1.09095|
|772|0.0423427|1.09516|
|773|0.0425621|1.09937|
|774|0.0427824|1.10359|
|775|0.0430036|1.10783|
|776|0.0432256|1.11207|
|777|0.0434484|1.11633|
|778|0.0436721|1.12059|
|779|0.0438966|1.12487|
|780|0.044122|1.12916|
|781|0.0443483|1.13346|
|782|0.0445754|1.13776|
|783|0.0448034|1.14208|
|784|0.0450323|1.14641|
|785|0.045262|1.15075|
|786|0.0454926|1.1551|
|787|0.045724|1.15946|
|788|0.0459563|1.16384|
|789|0.0461895|1.16822|
|790|0.0464236|1.17261|
|791|0.0466586|1.17701|
|792|0.0468944|1.18143|
|793|0.0471312|1.18585|
|794|0.0473688|1.19029|
|795|0.0476073|1.19474|
|796|0.0478467|1.19919|
|797|0.048087|1.20366|
|798|0.0483281|1.20814|
|799|0.0485702|1.21263|
|800|0.0488132|1.21713|
|801|0.0490571|1.22164|
|802|0.0493018|1.22616|
|803|0.0495475|1.23069|
|804|0.0497941|1.23524|
|805|0.0500416|1.23979|
|806|0.05029|1.24436|
|807|0.0505394|1.24893|
|808|0.0507896|1.25352|
|809|0.0510408|1.25812|
|810|0.0512929|1.26273|
|811|0.0515459|1.26734|
|812|0.0517998|1.27197|
|813|0.0520547|1.27662|
|814|0.0523104|1.28127|
|815|0.0525672|1.28593|
|816|0.0528248|1.2906|
|817|0.0530834|1.29529|
|818|0.0533429|1.29998|
|819|0.0536034|1.30469|
|820|0.0538648|1.30941|
|821|0.0541272|1.31414|
|822|0.0543905|1.31888|
