-65|0.000164428|-220
|Index|joint1_pos|joint2_pos|joint3_pos|joint1_vel|joint2_vel|joint3_vel|
|287|231534|130257|315506|5962.18|4354.3|7215.01|
|288|231589|130297|315572|5037.16|3679.84|6095.19|
|289|231635|130331|315628|4189.5|3061.36|5069.19|
|290|231673|130359|315674|3419.46|2499.19|4137.27|
|291|231704|130381|315711|2727.25|1993.6|3299.62|
|292|231728|130399|315740|2113.02|1544.8|2556.4|
|293|231746|130412|315762|1576.91|1152.97|1907.75|
|294|231760|130422|315779|1119.01|818.236|1353.76|
|295|231769|130429|315790|739.403|540.689|894.51|
|296|231775|130433|315797|438.136|320.397|530.041|
|297|231778|130436|315801|215.239|157.401|260.387|
|298|231779|130437|315802|70.7311|51.725|85.5674|
|299|231780|130437|315803|4.61931|3.37807|5.58824|
|300|231780|130437|315803|3.24651e-011|3.18522e-011|3.38246e-011|
|301|231780|130437|315803|-39.5256|-28.9048|-47.8164|
|302|231779|130436|315802|-158.102|-115.618|-191.265|
|303|231776|130434|315799|-355.722|-260.132|-430.339|
|304|231771|130431|315793|-632.374|-462.43|-765.027|
|305|231763|130425|315783|-988.03|-722.475|-1195.3|
|306|231751|130416|315768|-1422.65|-1040.21|-1721.12|
|307|231735|130404|315748|-1936.16|-1415.55|-2342.41|
|308|231712|130387|315721|-2528.47|-1848.38|-3059.09|
|309|231684|130367|315687|-3199.47|-2338.53|-3871.04|
|310|231648|130340|315644|-3948.99|-2885.81|-4778.1|
|311|231605|130309|315591|-4776.85|-3489.96|-5780.09|
|312|231552|130270|315528|-5682.8|-4150.67|-6876.77|
|313|231491|130225|315453|-6666.56|-4867.57|-8067.85|
|314|231419|130173|315366|-7727.81|-5640.22|-9353.02|
|315|231336|130112|315266|-8866.14|-6468.1|-10731.9|
|316|231241|130043|315151|-10081.1|-7350.64|-12204|
|317|231134|129965|315021|-11372.2|-8287.15|-13769|
|318|231013|129877|314875|-12738.9|-9276.88|-15426.1|
|319|230879|129780|314712|-14180.4|-10319|-17174.8|
|320|230730|129671|314531|-15696.2|-11412.4|-19014.4|
|321|230565|129551|314332|-17285.3|-12556.2|-20944.2|
|322|230384|129420|314112|-18946.9|-13749.2|-22963.2|
|323|230186|129276|313872|-20680|-14990|-25070.7|
|324|229970|129120|313611|-22483.6|-16277.2|-27265.5|
|325|229736|128950|313327|-24356.5|-17609.4|-29546.8|
|326|229482|128767|313019|-26297.5|-18984.7|-31913.2|
|327|229209|128570|312688|-28305.2|-20401.5|-34363.7|
|328|228916|128359|312332|-30378.2|-21857.7|-36896.9|
|329|228602|128133|311950|-32515|-23351.2|-39511.5|
|330|228266|127892|311541|-34713.9|-24879.8|-42206|
|331|227907|127635|311105|-36973|-26441|-44978.9|
|332|227526|127363|310642|-39277.2|-28045|-47797.1|
|333|227122|127074|310149|-41611.4|-29702.7|-50628|
|334|226694|126769|309629|-43974.6|-31411.9|-53470.8|
|335|226242|126446|309080|-46365.7|-33170.7|-56324.9|
|336|225766|126105|308502|-48783.6|-34977.1|-59189.9|
|337|225266|125746|307896|-51227.4|-36828.9|-62065.2|
|338|224742|125369|307261|-53696|-38724.2|-64950.5|
|339|224192|124972|306597|-56188.4|-40660.6|-67845.4|
|340|223618|124555|305904|-58703.7|-42636|-70749.9|
|341|223018|124119|305182|-61241.1|-44648.2|-73663.7|
|342|222393|123662|304431|-63799.5|-46694.8|-76586.8|
|343|221742|123185|303650|-66378.1|-48773.5|-79519.4|
|344|221065|122687|302840|-68976.2|-50881.9|-82461.7|
|345|220362|122167|302001|-71593|-53017.6|-85413.9|
|346|219633|121626|301132|-74227.6|-55178.1|-88376.4|
|347|218878|121063|300234|-76879.4|-57360.8|-91349.8|
|348|218096|120479|299305|-79547.7|-59563.1|-94334.8|
|349|217287|119872|298347|-82231.9|-61782.4|-97332|
|350|216451|119243|297358|-84931.3|-64015.8|-100342|
|351|215588|118592|296340|-87645.3|-66260.8|-103367|
|352|214698|117918|295291|-90373.4|-68514.2|-106407|
|353|213781|117221|294212|-93115|-70773.2|-109463|
|354|212836|116502|293102|-95869.6|-73034.8|-112537|
|355|211863|115761|291961|-98636.7|-75295.7|-115630|
|356|210863|114997|290789|-101416|-77552.8|-118744|
|357|209835|114210|289586|-104206|-79802.7|-121880|
|358|208779|113401|288351|-107008|-82041.9|-125041|
|359|207695|112569|287085|-109821|-84266.7|-128228|
|360|206582|111715|285787|-112643|-86473.5|-131443|
